,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:1:4.9,58,0.0355
'0:1:5.0,58,0.0356
'0:1:5.1,54,0.0357
'0:1:5.2,54,0.0355
'0:1:5.3,54,0.0355
'0:1:5.4,54,0.0355
'0:1:5.5,54,0.0356
'0:1:5.6,54,0.0357
'0:1:5.7,54,0.0356
'0:1:5.8,54,0.0356
'0:1:5.9,54,0.0353
'0:1:6.0,54,0.0355
'0:1:6.1,55,0.0356
'0:1:6.2,55,0.0356
'0:1:6.3,55,0.0356
'0:1:6.4,55,0.0355
'0:1:6.5,55,0.0355
'0:1:6.6,55,0.0355
'0:1:6.7,55,0.0356
'0:1:6.8,55,0.0355
'0:1:6.9,52,0.0355
'0:1:7.0,52,0.0355
'0:1:7.1,52,0.0355
'0:1:7.2,52,0.0356
'0:1:7.3,52,0.0356
'0:1:7.4,52,0.0356
'0:1:7.5,52,0.0355
'0:1:7.6,52,0.0356
'0:1:7.7,52,0.0356
'0:1:7.8,52,0.0355
'0:1:7.9,52,0.0355
'0:1:8.0,52,0.0355
'0:1:8.1,52,0.0355
'0:1:8.2,52,0.0355
'0:1:8.3,52,0.0355
'0:1:8.4,52,0.0355
'0:1:8.5,52,0.0356
'0:1:8.6,58,0.0355
'0:1:8.7,58,0.0355
'0:1:8.8,58,0.0355
'0:1:8.9,58,0.0355
'0:1:9.0,58,0.0355
'0:1:9.1,58,0.0355
'0:1:9.2,58,0.0355
'0:1:9.3,58,0.0356
'0:1:9.4,55,0.0355
'0:1:9.5,55,0.0355
'0:1:9.6,55,0.0355
'0:1:9.7,55,0.0355
'0:1:9.8,55,0.0355
'0:1:9.9,55,0.0355
'0:1:10.0,55,0.0356
'0:1:10.1,56,0.0356
'0:1:10.2,56,0.0355
'0:1:10.3,56,0.0355
'0:1:10.4,56,0.0355
'0:1:10.5,56,0.0355
'0:1:10.6,56,0.0355
'0:1:10.7,56,0.0356
'0:1:10.8,56,0.0355
'0:1:10.9,56,0.0355
'0:1:11.0,56,0.0355
'0:1:11.1,56,0.0355
'0:1:11.2,56,0.0355
'0:1:11.3,56,0.0355
'0:1:11.4,56,0.0355
'0:1:11.5,56,0.0355
'0:1:11.6,56,0.0355
'0:1:11.7,56,0.0355
'0:1:11.8,56,0.0355
'0:1:11.9,56,0.0355
'0:1:12.0,56,0.0355
'0:1:12.1,56,0.0356
'0:1:12.2,56,0.0355
'0:1:12.3,56,0.0355
'0:1:12.4,56,0.0355
'0:1:12.5,56,0.0355
'0:1:12.6,48,0.0355
'0:1:12.7,48,0.0355
'0:1:12.8,48,0.0355
'0:1:12.9,48,0.0355
'0:1:13.0,48,0.0355
'0:1:13.1,48,0.0355
'0:1:13.2,48,0.0355
'0:1:13.3,48,0.0355
'0:1:13.4,48,0.0356
'0:1:13.5,48,0.0356
'0:1:13.6,48,0.0356
'0:1:13.7,48,0.0355
'0:1:13.8,48,0.0356
'0:1:13.9,48,0.0356
'0:1:14.0,48,0.0355
'0:1:14.1,48,0.0356
'0:1:14.2,48,0.0356
'0:1:14.3,48,0.0356
'0:1:14.4,48,0.0356
'0:1:14.5,48,0.0355
'0:1:14.6,48,0.0355
'0:1:14.7,48,0.0356
'0:1:14.8,48,0.0355
'0:1:14.9,48,0.0355
'0:1:15.0,48,0.0355
'0:1:15.1,48,0.0356
'0:1:15.2,48,0.0355
'0:1:15.3,48,0.0355
'0:1:15.4,48,0.0355
'0:1:15.5,48,0.0356
'0:1:15.6,48,0.0355
'0:1:15.7,48,0.0356
'0:1:15.8,48,0.0356
'0:1:15.9,48,0.0356
'0:1:16.0,48,0.0355
'0:1:16.1,48,0.0356
'0:1:16.2,48,0.0355
'0:1:16.3,48,0.0356
'0:1:16.4,48,0.0356
'0:1:16.5,48,0.0356
'0:1:16.6,48,0.0356
'0:1:16.7,48,0.0356
'0:1:16.8,48,0.0356
'0:1:16.9,48,0.0356
'0:1:17.0,48,0.0356
'0:1:17.1,48,0.0356
'0:1:17.2,48,0.0356
'0:1:17.3,44,0.0356
'0:1:17.4,44,0.0356
'0:1:17.5,44,0.0356
'0:1:17.6,44,0.0356
'0:1:17.7,44,0.0356
'0:1:17.8,44,0.0356
'0:1:17.9,44,0.0356
'0:1:18.0,44,0.0356
'0:1:18.1,44,0.0356
'0:1:18.2,44,0.0356
'0:1:18.3,44,0.0356
'0:1:18.4,44,0.0356
'0:1:18.5,44,0.0356
'0:1:18.6,44,0.0356
'0:1:18.7,44,0.0356
'0:1:18.8,44,0.0356
'0:1:18.9,44,0.0356
'0:1:19.0,44,0.0356
'0:1:19.1,44,0.0356
'0:1:19.2,44,0.0356
'0:1:19.3,44,0.0356
'0:1:19.4,44,0.0356
'0:1:19.5,44,0.0356
'0:1:19.6,44,0.0356
'0:1:19.7,44,0.0356
'0:1:19.8,44,0.0356
'0:1:19.9,44,0.0356
'0:1:20.0,44,0.0356
'0:1:20.1,44,0.0356
'0:1:20.2,44,0.0356
'0:1:20.3,39,0.0356
'0:1:20.4,39,0.0356
'0:1:20.5,39,0.0356
'0:1:20.6,39,0.0356
'0:1:20.7,39,0.0356
'0:1:20.8,39,0.0356
'0:1:20.9,39,0.0356
'0:1:21.0,39,0.0356
'0:1:21.1,39,0.0356
'0:1:21.2,39,0.0356
'0:1:21.3,39,0.0356
'0:1:21.4,39,0.0356
'0:1:21.5,39,0.0356
'0:1:21.6,38,0.0356
'0:1:21.7,38,0.0356
'0:1:21.8,38,0.0356
'0:1:21.9,38,0.0356
'0:1:22.0,38,0.0356
'0:1:22.1,38,0.0356
'0:1:22.2,38,0.0356
'0:1:22.3,38,0.0356
'0:1:22.4,38,0.0356
'0:1:22.5,38,0.0356
'0:1:22.6,38,0.0356
'0:1:22.7,38,0.0356
'0:1:22.8,38,0.0356
'0:1:22.9,37,0.0356
'0:1:23.0,37,0.0356
'0:1:23.1,37,0.0356
'0:1:23.2,37,0.0356
'0:1:23.3,37,0.0356
'0:1:23.4,37,0.0356
'0:1:23.5,37,0.0356
'0:1:23.6,37,0.0356
'0:1:23.7,37,0.0354
'0:1:23.8,37,0.0356
'0:1:23.9,37,0.0357
'0:1:24.0,37,0.0357
'0:1:24.1,37,0.0356
